Date,Open,High,Low,Close,Volume,Adj Close
2007-10-05,3793.88,3827.72,3775.10,3822.62,217995900,3822.62
2007-10-04,3753.71,3783.81,3742.44,3783.81,232290300,3783.81
2007-10-03,3796.61,3851.88,3744.36,3754.62,334159100,3754.62
2007-10-02,3826.41,3829.52,3788.25,3793.83,355235400,3793.83
2007-10-01,3734.94,3774.79,3734.94,3755.22,329960500,3755.22
2007-09-28,3714.61,3726.53,3679.59,3706.23,393128700,3706.23
2007-09-27,3689.82,3723.32,3680.29,3714.77,514180400,3714.77
2007-09-26,3634.24,3662.95,3622.15,3650.09,215176500,3650.09
2007-09-25,3616.62,3653.74,3613.20,3624.82,337984400,3624.82
2007-09-24,3559.34,3639.02,3551.87,3639.02,454600900,3639.02
2007-09-21,3543.55,3559.22,3527.27,3542.22,230003400,3542.22
2007-09-20,3607.27,3607.27,3552.46,3552.46,270350700,3552.46
2007-09-19,3597.07,3601.65,3558.20,3594.36,381118000,3594.36
2007-09-18,3452.09,3480.70,3437.92,3477.75,239275100,3477.75
2007-09-17,3535.90,3538.56,3473.28,3476.31,173718100,3476.31
2007-09-14,3539.03,3561.86,3533.00,3536.40,241041100,3536.40
2007-09-13,3529.37,3530.72,3489.14,3504.40,229000600,3504.40
2007-09-12,3531.12,3531.14,3498.48,3506.09,247653600,3506.09
2007-09-11,3447.09,3498.35,3442.72,3494.57,290898900,3494.57
2007-09-10,3406.90,3452.52,3390.86,3441.87,217149700,3441.87
2007-09-07,3465.19,3505.58,3465.19,3488.97,271526400,3488.97
2007-09-06,3374.01,3470.15,3368.60,3466.06,252759200,3466.06
2007-09-05,3436.50,3445.08,3413.39,3445.08,282324900,3445.08
2007-09-04,3394.94,3402.61,3370.17,3376.06,183053800,3376.06
2007-09-03,3390.84,3398.83,3371.61,3386.22,192867500,3386.22
2007-08-31,3384.84,3399.35,3356.44,3392.91,392483100,3392.91
2007-08-30,3382.75,3385.59,3321.15,3321.15,324417600,3321.15
2007-08-29,3262.37,3334.66,3249.96,3334.66,288334400,3334.66
2007-08-28,3371.49,3385.44,3339.90,3343.00,220668600,3343.00
2007-08-27,3426.19,3426.19,3388.44,3388.44,238726800,3388.44
2007-08-24,3367.45,3370.24,3318.06,3369.45,309668300,3369.45
2007-08-23,3407.32,3441.79,3366.15,3370.91,450994100,3370.91
2007-08-22,3258.73,3322.76,3256.16,3321.50,384990200,3321.50
2007-08-21,3320.72,3365.31,3228.66,3228.66,327365500,3228.66
2007-08-20,3249.37,3322.38,3239.47,3322.38,471795100,3322.38
2007-08-17,3106.68,3179.03,2962.01,3130.71,611445400,3130.71
2007-08-16,3215.69,3215.69,3104.47,3152.16,532926100,3152.16
2007-08-15,3322.27,3324.59,3255.57,3273.25,390221500,3273.25
2007-08-14,3384.32,3389.80,3353.62,3386.59,267210100,3386.59
2007-08-13,3375.02,3385.08,3318.04,3380.61,234251900,3380.61
2007-08-10,3307.67,3359.18,3284.74,3359.18,385848600,3359.18
2007-08-08,3331.47,3416.44,3331.47,3413.17,253977000,3413.17
2007-08-07,3351.23,3367.35,3300.81,3302.01,253642100,3302.01
2007-08-06,3339.38,3352.16,3295.43,3308.99,301184200,3308.99
2007-08-03,3468.06,3474.31,3422.90,3436.04,286547700,3436.04
2007-08-02,3473.33,3484.66,3399.56,3435.46,298130800,3435.46
2007-08-01,3516.03,3525.29,3402.21,3431.71,421797300,3431.71
2007-07-31,3577.53,3577.53,3533.52,3547.66,382461900,3547.66
2007-07-30,3467.36,3530.45,3461.40,3526.29,274004800,3526.29
2007-07-27,3474.44,3503.76,3444.05,3492.70,487559500,3492.70
2007-07-26,3644.57,3647.45,3575.92,3579.73,303873400,3579.73
2007-07-25,3623.03,3648.94,3615.35,3633.54,273543500,3633.54
2007-07-24,3657.37,3669.24,3651.06,3665.13,291173700,3665.13
2007-07-23,3627.97,3648.88,3609.55,3635.35,294381600,3635.35
2007-07-20,3616.95,3653.12,3616.95,3651.38,308732500,3651.38
2007-07-19,3586.06,3605.41,3581.97,3604.62,264090600,3604.62
2007-07-18,3651.73,3652.79,3578.46,3583.97,405192100,3583.97
2007-07-17,3663.74,3669.23,3647.93,3651.05,201402700,3651.05
2007-07-16,3679.97,3688.58,3649.51,3653.23,210178400,3653.23
2007-07-13,3683.72,3685.01,3654.61,3654.61,267437300,3654.61
2007-07-12,3627.09,3646.51,3615.09,3624.56,317275400,3624.56
2007-07-11,3603.67,3622.84,3589.80,3594.94,230011500,3594.94
2007-07-10,3647.05,3653.27,3620.32,3620.32,450946400,3620.32
2007-07-09,3583.49,3629.44,3583.39,3626.72,269115900,3626.72
2007-07-06,3545.27,3567.02,3539.77,3561.96,281961700,3561.96
2007-07-05,3566.48,3573.43,3551.68,3551.68,376731700,3551.68
2007-07-04,3580.41,3583.61,3554.00,3554.85,284935200,3554.85
2007-07-03,3565.69,3574.58,3557.36,3569.43,306049600,3569.43
2007-07-02,3553.48,3563.06,3536.24,3550.34,189000500,3550.34
2007-06-29,3573.18,3574.65,3537.64,3548.20,497889300,3548.20
2007-06-28,3527.19,3538.23,3512.80,3538.23,434868200,3538.23
2007-06-27,3513.50,3537.38,3485.02,3505.50,616554600,3505.50
2007-06-26,3573.23,3575.27,3525.10,3525.10,253087100,3525.10
2007-06-25,3603.13,3610.75,3578.42,3580.33,205451000,3580.33
2007-06-22,3631.92,3631.92,3599.46,3615.38,477341500,3615.38
2007-06-21,3620.00,3640.77,3620.00,3639.49,364464500,3639.49
2007-06-20,3642.30,3652.02,3623.97,3628.67,533761700,3628.67
2007-06-19,3625.48,3633.02,3618.64,3629.55,247837100,3629.55
2007-06-18,3616.80,3629.45,3614.32,3623.79,252049400,3623.79
2007-06-15,3601.05,3603.44,3576.61,3581.16,265861500,3581.16
2007-06-14,3589.06,3594.56,3573.43,3573.43,237205600,3573.43
2007-06-13,3530.12,3567.11,3525.76,3551.22,237625200,3551.22
2007-06-12,3554.16,3576.04,3552.57,3561.54,228133600,3561.54
2007-06-11,3530.38,3552.42,3526.53,3545.46,255928900,3545.46
2007-06-08,3485.94,3511.02,3480.62,3491.59,401007400,3491.59
2007-06-07,3532.37,3566.53,3527.78,3546.33,303272100,3546.33
2007-06-06,3577.04,3585.50,3559.18,3563.75,367110100,3563.75
2007-06-05,3586.51,3596.27,3566.27,3572.90,303108200,3572.90
2007-06-04,3571.89,3586.97,3570.19,3579.35,346091400,3579.35
2007-06-01,3547.64,3570.10,3543.60,3548.32,397369200,3548.32
2007-05-30,3533.45,3533.45,3475.46,3511.13,360118500,3511.13
2007-05-29,3513.33,3527.08,3506.71,3527.08,264015100,3527.08
2007-05-28,3503.30,3513.37,3493.69,3513.37,205935800,3513.37
2007-05-25,3483.54,3499.16,3414.97,3486.63,265155200,3486.63
2007-05-24,3543.89,3546.59,3510.19,3530.26,393145000,3530.26
2007-05-23,3542.07,3559.01,3538.04,3559.01,390422500,3559.01
2007-05-22,3520.60,3554.34,3520.60,3539.82,303084700,3539.82
2007-05-21,3536.09,3536.09,3507.41,3514.49,225696600,3514.49
2007-05-18,3512.76,3516.72,3489.85,3512.40,323069300,3512.40
2007-05-17,3523.14,3531.85,3498.35,3525.51,299055100,3525.51
2007-05-16,3470.95,3501.17,3463.32,3501.17,278097900,3501.17
2007-05-15,3487.88,3497.81,3456.45,3475.08,281309800,3475.08
2007-05-14,3490.20,3508.84,3485.14,3501.10,293882900,3501.10
2007-05-11,3417.36,3466.87,3417.03,3446.92,252473000,3446.92
2007-05-10,3468.85,3478.09,3448.69,3469.26,360826400,3469.26
2007-05-09,3436.21,3458.64,3409.32,3452.72,244062300,3452.72
2007-05-08,3486.44,3489.17,3431.16,3439.21,253922200,3439.21
2007-05-07,3510.91,3523.41,3477.59,3477.59,257742800,3477.59
2007-05-04,3477.90,3500.20,3466.27,3485.76,250909200,3485.76
2007-05-03,3444.66,3475.54,3436.91,3450.64,396019700,3450.64
2007-05-02,3395.57,3417.81,3381.29,3417.81,314137500,3417.81
2007-04-30,3389.27,3393.05,3352.13,3361.29,298259800,3361.29
2007-04-27,3402.73,3404.93,3372.51,3398.60,337175100,3398.60
2007-04-26,3401.67,3416.23,3394.22,3406.89,315519200,3406.89
2007-04-25,3381.87,3387.81,3362.68,3362.68,269116800,3362.68
2007-04-24,3372.60,3393.49,3352.95,3374.52,200001300,3374.52
2007-04-23,3404.04,3414.17,3378.71,3388.48,258738300,3388.48
2007-04-20,3342.96,3360.67,3338.51,3360.67,217734900,3360.67
2007-04-19,3378.08,3384.15,3291.28,3291.28,360577000,3291.28
2007-04-18,3428.84,3438.71,3396.70,3400.41,338403500,3400.41
2007-04-17,3438.84,3448.69,3405.58,3415.32,463609100,3415.32
2007-04-16,3395.64,3414.64,3391.10,3414.15,420958900,3414.15
2007-04-13,3394.95,3397.06,3351.32,3373.59,278965800,3373.59
2007-04-12,3392.23,3410.53,3369.44,3372.69,292444800,3372.69
2007-04-11,3443.27,3452.84,3402.31,3420.62,287631500,3420.62
2007-04-10,3404.04,3422.62,3379.77,3422.62,223482300,3422.62
